URL,TTL,Message
tfetimes.com,35,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


"
tfetimes.com,36,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


100
<footer>
<span>&copy; 2019 Sucuri Inc. All rights reserved.</span>
<span id=""privacy-policy""><a href=""https://sucuri.net/privacy-policy?utm_source=firewall_block"" target=""_blank"" rel=""nofollow noopener"">Privacy</a></span>
</footer>
</div>
</body>
</html>


0

"
tfetimes.com,37,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


100
<footer>
<span>&copy; 2019 Sucuri Inc. All rights reserved.</span>
<span id=""privacy-policy""><a href=""https://sucuri.net/privacy-policy?utm_source=firewall_block"" target=""_blank"" rel=""nofollow noopener"">Privacy</a></span>
</footer>
</div>
</body>
</html>


0

"
tfetimes.com,38,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


"
tfetimes.com,39,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


"
tfetimes.com,40,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


"
tfetimes.com,41,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


"
tfetimes.com,42,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


"
tfetimes.com,43,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


"
tfetimes.com,44,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


"
tfetimes.com,45,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


100
<footer>
<span>&copy; 2019 Sucuri Inc. All rights reserved.</span>
<span id=""privacy-policy""><a href=""https://sucuri.net/privacy-policy?utm_source=firewall_block"" target=""_blank"" rel=""nofollow noopener"">Privacy</a></span>
</footer>
</div>
</body>
</html>


0

"
tfetimes.com,46,"HTTP/1.1 404 Not Found
Server: Sucuri/Cloudproxy
Date: Tue, 21 Jan 2020 19:57:27 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
X-Sucuri-ID: 21020

309
<!DOCTYPE html>
<html lang=""en"" xmlns=""http://www.w3.org/1999/xhtml"">
<head>
<link rel=""stylesheet"" href=""https://cdn.sucuri.net/sucuri-firewall-block.css"" />
<section class=""center clearfix"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />
<title>Sucuri WebSite Firewall - Not Configured</title>
<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700"" rel=""stylesheet"" type=""text/css"">
</head>
<body>
<div id=""main-container"">
<header class=""app-header clearfix"">
<div class=""wrap"">
<a href=""https://www.sucuri.net/?utm_source=firewall_block"" class=""logo""></a>
<span class=""logo-neartext"">Website Firewall</span>
<a href=""https://sucuri.net/?utm_source=firewall_block"" class=""site-link"">Back to sucuri.net</a>
</div>
</header>


4bd
<section class=""app-content access-denied clearfix""><div class=""box center width-max-940""><h1 class=""brand-font font-size-xtra no-margin"">Sucuri Website Firewall - Not Configured</h1>
<p class=""medium-text code-snippet""> The site you are visiting is using <a href=""https://sucuri.net/website-firewall?utm_source=firewall_block"">Sucuri Website Firewall</a>. And for some reason it is not configured properly.
If you are the site owner, please open a ticket here asap for us to look at it for you: <a href=""https://support.sucuri.net?utm_source=firewall_block"">https://support.sucuri.net</a>.
If you are visiting the site please try again in a few minutes.
<h2>Error Details:</h1>
<table class=""property-table overflow-break-all line-height-16"">
<tr>
<td>Your IP:</td>
<td><span>176.107.176.62</span></td>
</tr>
<tr><td>URL:</td>
<td><span>ojaloberoi.in/</span></td>
</tr>
<tr>
<td>Your Browser: </td>
<td><span>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</span></td>
</tr>
<td>Time:</td>
<td><span>2020-01-21 14:57:27</span></td>
</tr>
<tr>
<td>Server ID:</td>
<td><span>21020</span></td></tr>
</table>
</div>
</section>


"
